ID,PedidoID,Tipo_Venda,Produto ID,Produto,Quantidade,Preço Unitário,Total,Margem do Pedido,Custo Unitário,Custo Total,Quantidade Disponível Itens
8f8cff46,54,Pedido,61,Cabo de freio traseiro importado,1,5,5,"76,00%","1,2","1,2",27
2d0251c0,54,Pedido,249,Punho comum par,1,10,10,"61,00%","3,9","3,9",10
4e765b0d,55,Pedido,75,Câmara aro 26 Pirelli,1,20,20,"50,10%","9,98","9,98",9
b1668c08,55,Pedido,137,Espelho comum medio par,1,30,30,"53,66%","13,9","13,9",3
9ea545ea,56,Pedido,230,Pneu aro 20 liso Vee Rubber,2,"60,51","121,02","57,03%",26,52,8
e861736d,56,Pedido,67,Câmara 20 x1.75 Bison,1,29,29,"72,79%","7,89","7,89",9
1b21fc44,57,Pedido,133,Eixo traseiro comum,1,25,25,"68,64%","7,84","7,84",10
6c8c63fc,58,Pedido,79,Câmara aro 29 Kenda,1,40,40,"58,80%","16,48","16,48",10
dadef910,58,Pedido,197,Pedal plataforma alumínio polido,1,50,50,"65,30%","17,35","17,35",10
2a8c1110,59,Pedido,68,Câmara 26 Vee Rubber,2,25,50,"66,00%","8,5",17,10
3c5ea22f,59,Pedido,92,Câmbio traseiro comum c/gancheira,1,45,45,"55,78%","19,9","19,9",10
a48a37b4,59,Pedido,4,Alavanca cambio comum plástico par,1,25,25,"84,48%","3,88","3,88",10
c73d9802,59,Pedido,33,Balacas de freio com rosca par,2,15,30,"90,00%","1,5",3,32
9ce9d7f2,59,Pedido,61,Cabo de freio traseiro importado,2,5,10,"76,00%","1,2","2,4",26
d8a3775f,59,Pedido,247,Punho com trava preto,1,41,41,"50,00%","20,5","20,5",10
413ec66d,59,Pedido,184,Manet alumínio preto par,1,35,35,"59,06%","14,33","14,33",10
5bf0614a,59,Pedido,113,Corrente fina Index Tec 8V,1,30,30,"79,60%","6,12","6,12",10
95eff622,59,Pedido,5f7d15c6,,1,"30,6","30,6","42,00%","17,75","17,75",1
80073b6c,59,Pedido,a05745b8,,1,"103,4","103,4","50,00%","51,7","51,7",1
74771be8,49,Pedido,115,Corrente grossa Veloforce,1,40,40,"86,55%","5,38","5,38",10
f7f221de,50,Pedido,43,Banco XR Caloi preto,1,140,140,"49,82%","70,25","70,25",10
10132baf,51,Pedido,133,Eixo traseiro comum,1,50,50,"84,32%","7,84","7,84",9
f0f460c4,52,Pedido,d9a8441d,Adesivo,1,15,15,"86,67%",2,2,20
628b6dff,53,Pedido,184,Manet alumínio preto par,1,"28,66","28,66","50,00%","14,33","14,33",6
442c48fa,53,Pedido,180,Kit freio V Break alumínio,1,"39,8","39,8","50,00%","19,9","19,9",10
277a9c54,45,Pedido,133,Eixo traseiro comum,1,"15,68","15,68","50,00%","7,84","7,84",7
5ebedcc4,45,Pedido,127,Disco de freio 160mm,1,"16,36","16,36","45,00%",9,9,9
f5b9f705,45,Pedido,213,Pedevela monobloco aro 20 preto,1,"13,98","13,98","50,00%","6,99","6,99",10
4e643aa7,45,Pedido,187,Mesa 45mm,1,"61,4","61,4","43,00%",35,35,9
eaebe609,45,Pedido,232,Pneu Kenda aro 26x1.95,1,40,40,"45,00%",22,22,9
05771d45,45,Pedido,198,Pedal plataforma alumínio preto,2,"34,7","69,4","50,00%","17,35","34,7",10
f3e42eca,45,Pedido,222,Pezinho lateral comum aro 26,1,15,15,"60,80%","5,88","5,88",10
62e0a307,46,Pedido,42,Banco XR Caloi branco,1,"140,5","140,5","50,00%","70,25","70,25",10
b4bbcd67,46,Pedido,166,Garupeira tubão preta,1,60,60,"58,33%",25,25,10
56782683,46,Pedido,4876b22e,Serviço colocação de peça,1,25,25,"20,00%",20,20,1
761d55e2,47,Pedido,219,Pedivela esquerdo alumínio,1,"29,96","29,96","50,00%","14,98","14,98",10
994c3627,47,Pedido,198,Pedal plataforma alumínio preto,1,"35,41","35,41","51,00%","17,35","17,35",7
777a62d8,47,Pedido,189,Movimento central 45mm kit,1,"15,6","15,6","70,00%","4,68","4,68",9
